,District Name,School Name,Organization Type,Organization Code,Address,Town,Zipcode,Phone,PreKindergarten,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Student Open Date,Interdistrict Magnet,Location,address_for_query,formatted_address,lat,lng
189,East Haven School District,Joseph Melillo Middle School,Public Schools,445111,67 Hudson St.,East Haven,06512-1524,203-468-3227,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0.0,"67 Hudson St.
East Haven, CT 06512-1524
(41.285146, -72.866418)","67 Hudson St., East Haven, Connecticut, USA","67 Hudson St, East Haven, CT 06512, USA",41.2863129,-72.8675039
190,Glastonbury School District,Hebron Avenue School,Public Schools,540411,1363 Hebron Avenue,Glastonbury,06033,860-652-7875,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"1363 Hebron Avenue
Glastonbury, CT 06033
(41.717656, -72.560038)","1363 Hebron Avenue, Glastonbury, Connecticut, USA","1363 Hebron Ave, Glastonbury, CT 06033, USA",41.7188738,-72.5587425
191,Meriden School District,Benjamin Franklin School,Public Schools,800111,426 West Main St.,Meriden,06450-3802,203-235-7997,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"426 West Main St.
Meriden, CT 06450-3802
(41.540002, -72.817748)","426 West Main St., Meriden, Connecticut, USA","426 W Main St, Meriden, CT 06451, USA",41.5389122,-72.8184519
192,Bridgeport School District,Edison School,Public Schools,150711,115 Boston Terrace,Bridgeport,06610-2505,203-576-7183,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"115 Boston Terrace
Bridgeport, CT 06610-2505
(41.19513, -73.162767)","115 Boston Terrace, Bridgeport, Connecticut, USA","115 Boston Terrace, Bridgeport, CT 06610, USA",41.1952587,-73.16312599999999
193,Greenwich School District,Greenwich High School,Public Schools,576111,10 Hillside Rd.,Greenwich,06830-4835,203-625-8000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0.0,"10 Hillside Rd.
Greenwich, CT 06830-4835
(41.040861, -73.611729)","10 Hillside Rd., Greenwich, Connecticut, USA","10 Hillside Rd, Greenwich, CT 06830, USA",41.0398826,-73.6131462
194,Bridgeport School District,Blackham School,Public Schools,154011,425 Thorme St.,Bridgeport,06606-3418,203-576-7951,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0.0,"425 Thorme St.
Bridgeport, CT 06606-3418
(41.205757, -73.214523)","425 Thorme St., Bridgeport, Connecticut, USA","425 Thorme St, Bridgeport, CT 06606, USA",41.2050907,-73.2131898
195,Regional School District 19,Regional School District 19,Regional School Districts,2190012,1235 Storrs Road,Storrs,06268,860-487-1862,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2002-07-01T00:00:00.000,0.0,"1235 Storrs Road
Storrs, CT 06268
(41.803486, -72.242988)","1235 Storrs Road, Storrs, Connecticut, USA","1235 Storrs Rd, Storrs, CT 06268, USA",41.80199229999999,-72.24452149999999
196,Fairfield School District,Dwight Elementary School,Public Schools,510111,1600 Redding Rd.,Fairfield,06824,203-255-8312,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"1600 Redding Rd.
Fairfield, CT 06824
(41.180929, -73.303731)","1600 Redding Rd., Fairfield, Connecticut, USA","1600 Redding Rd, Fairfield, CT 06824, USA",41.1828879,-73.30316359999999
197,Bethel School District,Bethel Middle School,Public Schools,95111,600 Whittlesey Dr.,Bethel,06801-1531,203-794-8670,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0.0,"600 Whittlesey Dr.
Bethel, CT 06801-1531
(41.385258, -73.397627)","600 Whittlesey Dr., Bethel, Connecticut, USA","600 Whittlesey Dr, Bethel, CT 06801, USA",41.3810449,-73.3923701
198,East Hartford School District,Dr. John A. Langford School,Public Schools,432211,61 Alps Dr.,East Hartford,06108-1402,860-622-5700,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"61 Alps Dr.
East Hartford, CT 06108-1402
(41.791242, -72.600936)","61 Alps Dr., East Hartford, Connecticut, USA","61 Alps Dr, East Hartford, CT 06108, USA",41.7913934,-72.6009026
199,Milford School District,Orange Avenue School,Public Schools,840811,260 Orange Ave.,Milford,06460-2196,203-783-3537,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"260 Orange Ave.
Milford, CT 06460-2196
(41.238213, -73.049994)","260 Orange Ave., Milford, Connecticut, USA","260 Orange Ave, Milford, CT 06461, USA",41.2385188,-73.05058149999999
200,Waterford School District,Waterford School District,Public School Districts,1520011,15 Rope Ferry Road,Waterford,06385,860-444-5801,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0.0,"15 Rope Ferry Road
Waterford, CT 06385
(41.34243, -72.131099)","15 Rope Ferry Road, Waterford, Connecticut, USA","15 Rope Ferry Rd, Waterford, CT 06385, USA",41.3429588,-72.1310149
201,Montville School District,Montville School District,Public School Districts,860011,800 Old Colchester Road,Oakdale,06370,860-848-1228,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0.0,"800 Old Colchester Road
Oakdale, CT 06370
(41.461396, -72.164901)","800 Old Colchester Road, Oakdale, Connecticut, USA","800 Old Colchester Rd, Oakdale, CT 06370, USA",41.4571873,-72.16401189999999
202,Danbury School District,South Street School,Public Schools,341011,129 South St.,Danbury,06810-8039,203-797-4787,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"129 South St.
Danbury, CT 06810-8039
(41.386888, -73.44307)","129 South St., Danbury, Connecticut, USA","129 South St, Danbury, CT 06810, USA",41.3875675,-73.44332519999999
203,Simsbury School District,Henry James Memorial School,Public Schools,1285111,155 Firetown Rd.,Simsbury,06070-1962,860-651-3341,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1984-07-01T00:00:00.000,0.0,"155 Firetown Rd.
Simsbury, CT 06070-1962
(41.883278, -72.813383)","155 Firetown Rd., Simsbury, Connecticut, USA","155 Firetown Rd, Simsbury, CT 06070, USA",41.8839187,-72.8140098
204,Stafford School District,Stafford Middle School,Public Schools,1345211,21 Levinthal Run,Stafford Springs,06076-3719,860-684-2785,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1992-07-01T00:00:00.000,0.0,"21 Levinthal Run
Stafford Springs, CT 06076-3719
(41.96599, -72.306927)","21 Levinthal Run, Stafford Springs, Connecticut, USA","21 Levinthal Run, Stafford Springs, CT 06076, USA",41.9662253,-72.30623
205,Darien School District,Tokeneke Elementary School,Public Schools,350611,7 Old Farm Rd.,Darien,06820-6113,203-655-9666,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"7 Old Farm Rd.
Darien, CT 06820-6113
(41.073275, -73.459001)","7 Old Farm Rd., Darien, Connecticut, USA","7 Old Farm Rd, Darien, CT 06820, USA",41.07387689999999,-73.4580272
206,New London School District,Science and Technology Magnet School of Southeastern Connecticut,Public Schools,951311,490 Jefferson Ave,New London,06320,860-437-6496,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2016-09-01T00:00:00.000,1.0,"490 Jefferson Ave
New London, CT 06320
(41.360133, -72.121228)","490 Jefferson Ave, New London, Connecticut, USA","490 Jefferson Ave, New London, CT 06320, USA",41.3588998,-72.1207518
207,Mansfield School District,Southeast Elementary School,Public Schools,780511,134 Warrenville Rd.,Mansfield Center,06250-1229,860-423-1611,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1988-07-01T00:00:00.000,0.0,"134 Warrenville Rd.
Mansfield Center, CT 06250-1229
(41.774037, -72.192051)","134 Warrenville Rd., Mansfield Center, Connecticut, USA","134 Warrenville Rd, Mansfield Center, CT 06250, USA",41.7730345,-72.1918689
208,Regional School District 06,Goshen Center School,Regional Schools,2060112,50 North St.,Goshen,06756-1509,860-491-6020,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2002-07-01T00:00:00.000,0.0,"50 North St.
Goshen, CT 06756-1509
(41.8342, -73.227829)","50 North St., Goshen, Connecticut, USA","50 North St, Goshen, CT 06756, USA",41.83461519999999,-73.22672759999999
209,Capitol Region Education Council,Academy of Aerospace and Engineering Elementary,Regional Education Service Center Schools,2410714,7 Gardner Way,Rocky Hill,06067,860-529-1652,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2013-08-28T00:00:00.000,1.0,"7 Gardner Way
Rocky Hill, CT 06067
(41.932968, -72.615381)","7 Gardner Way, Rocky Hill, Connecticut, USA","7 Gardner Way, Rocky Hill, CT 06067, USA",41.6402834,-72.6587571
210,Griswold School District,Griswold High School,Public Schools,586211,267 Slater Ave.,Griswold,06351,860-376-7640,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1992-07-01T00:00:00.000,0.0,"267 Slater Ave.
Griswold, CT 06351
(41.59656, -71.978078)","267 Slater Ave., Griswold, Connecticut, USA","267 Slater Ave, Griswold, CT 06351, USA",41.5976729,-71.9790781
211,Hartford School District,Sanchez School,Public Schools,643011,176 Babcock Street,Hartford,06106-1357,860-695-4940,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1992-07-01T00:00:00.000,0.0,"176 Babcock Street
Hartford, CT 06106-1357
(41.758918, -72.689238)","176 Babcock Street, Hartford, Connecticut, USA","176 Babcock St, Hartford, CT 06106, USA",41.75898,-72.6887484
212,North Haven School District,North Haven Middle School,Public Schools,1015211,55 Bailey Rd.,North Haven,06473-2652,203-239-1683,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0.0,"55 Bailey Rd.
North Haven, CT 06473-2652
(41.377062, -72.859679)","55 Bailey Rd., North Haven, Connecticut, USA","55 Bailey Rd, North Haven, CT 06473, USA",41.3747728,-72.8596392
213,East Hartford School District,Anna E. Norris School,Public Schools,430911,40 Remington Rd.,East Hartford,06108-4010,860-622-5740,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"40 Remington Rd.
East Hartford, CT 06108-4010
(41.784929, -72.631363)","40 Remington Rd., East Hartford, Connecticut, USA","40 Remington Rd, East Hartford, CT 06108, USA",41.78521689999999,-72.6301775
214,Norwalk School District,West Rocks Middle School,Public Schools,1035411,81 West Rocks Road,Norwalk,06851-2299,203-899-2970,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0.0,"81 West Rocks Road
Norwalk, CT 06851-2299
(41.134342, -73.414156)","81 West Rocks Road, Norwalk, Connecticut, USA","81 W Rocks Rd, Norwalk, CT 06851, USA",41.1341793,-73.41535069999999
215,Enfield School District,Prudence Crandall School,Public Schools,491511,150 Brainard Rd.,Enfield,06082-2649,860-253-6464,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"150 Brainard Rd.
Enfield, CT 06082-2649
(42.017854, -72.569733)","150 Brainard Rd., Enfield, Connecticut, USA","150 Brainard Rd, Enfield, CT 06082, USA",42.0155507,-72.56890039999999
216,Milford School District,Joseph A. Foran High School,Public Schools,846311,80 Foran Dr.,Milford,06460-7799,203-783-3502,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0.0,"80 Foran Dr.
Milford, CT 06460-7799
(41.218175, -73.013601)","80 Foran Dr., Milford, Connecticut, USA","80 Foran Rd, Milford, CT 06460, USA",41.2192431,-73.0129468
217,Jumoke Academy District,Jumoke Academy,Public Charter Schools,2610113,999 Asylum Ave. Suite 200,Hartford,06105,860-527-0575,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1997-07-01T00:00:00.000,0.0,"999 Asylum Ave. Suite 200
Hartford, CT 06105
(41.771468, -72.697715)","999 Asylum Ave. Suite 200, Hartford, Connecticut, USA","999 Asylum Ave #200, Hartford, CT 06105, USA",41.77110529999999,-72.69788179999999
218,Suffield School District,Suffield School District,Public School Districts,1390011,350 Mountain Road,Suffield,06078,860-668-3800,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0.0,"350 Mountain Road
Suffield, CT 06078
(41.983646, -72.661489)","350 Mountain Road, Suffield, Connecticut, USA","350 Mountain Rd, Suffield, CT 06078, USA",41.9851245,-72.6632523
219,Brooklyn School District,Brooklyn School District,Public School Districts,190011,119 Gorman Road,Brooklyn,06234,860-774-9732,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0.0,"119 Gorman Road
Brooklyn, CT 06234
(41.785169, -71.934756)","119 Gorman Road, Brooklyn, Connecticut, USA","119 Gorman Rd, Brooklyn, CT 06234, USA",41.7854785,-71.9351272
220,Easton School District,Helen Keller Middle School,Public Schools,465111,360 Sport Hill Rd.,Easton,06612-1714,203-268-8651,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0.0,"360 Sport Hill Rd.
Easton, CT 06612-1714
(41.243233, -73.27334)","360 Sport Hill Rd., Easton, Connecticut, USA","360 Sport Hill Rd, Easton, CT 06612, USA",41.24381899999999,-73.27371649999999
221,Cheshire School District,Cheshire School District,Public School Districts,250011,29 Main Street,Cheshire,06410,203-250-2400,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0.0,"29 Main Street
Cheshire, CT 06410
(41.501041, -72.9014)","29 Main Street, Cheshire, Connecticut, USA","29 Main St, Cheshire, CT 06410, USA",41.4998368,-72.90164639999999
222,New Britain School District,Northend Elementary School,Public Schools,890911,160 Bassett St.,New Britain,06051-3419,860-223-3819,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"160 Bassett St.
New Britain, CT 06051-3419
(41.656398, -72.779832)","160 Bassett St., New Britain, Connecticut, USA","160 Bassett St, New Britain, CT 06051, USA",41.6565823,-72.7794729
223,Brass City Charter School District,Brass City Charter School,Public Charter Schools,2900113,289 Willow St.,Waterbury,06710,203-527-5942,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2013-09-04T00:00:00.000,,"289 Willow St.
Waterbury, CT 06710
(41.565737, -73.04857)","289 Willow St., Waterbury, Connecticut, USA","289 Willow St, Waterbury, CT 06710, USA",41.5654335,-73.0493927
224,Westbrook School District,Daisy Ingraham School,Public Schools,1540211,105 Goodspeed Dr.,Westbrook,06498-1997,860-399-7925,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"105 Goodspeed Dr.
Westbrook, CT 06498-1997
(41.285184, -72.441618)","105 Goodspeed Dr., Westbrook, Connecticut, USA","105 Goodspeed Dr, Westbrook, CT 06498, USA",41.2868079,-72.44181069999999
225,Wolcott School District,Frisbie School,Public Schools,1660211,24 Todd Rd.,Wolcott,06716-2821,203-879-8146,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"24 Todd Rd.
Wolcott, CT 06716-2821
(41.577515, -72.978385)","24 Todd Rd., Wolcott, Connecticut, USA","24 Todd Rd, Wolcott, CT 06716, USA",41.5779761,-72.98018979999999
226,Hamden School District,Bear Path School,Public Schools,621211,10 Kirk Rd.,Hamden,06514-1308,203-407-2015,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"10 Kirk Rd.
Hamden, CT 06514-1308
(41.390151, -72.926708)","10 Kirk Rd., Hamden, Connecticut, USA","10 Kirk Rd, Hamden, CT 06514, USA",41.3892598,-72.927324
227,New Haven School District,Cooperative High School - Inter-District Magnet,Public Schools,936411,177 College Street,New Haven,06511,475-220-2400,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1987-07-01T00:00:00.000,1.0,"177 College Street
New Haven, CT 06511
(41.305646, -72.929894)","177 College Street, New Haven, Connecticut, USA","177 College St, New Haven, CT 06510, USA",41.3054918,-72.929631
228,Stamford School District,Turn of River School,Public Schools,1355511,117 Vine Rd.,Stamford,06905,203-977-4284,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0.0,"117 Vine Rd.
Stamford, CT 06905
(41.100652, -73.54317)","117 Vine Rd., Stamford, Connecticut, USA","117 Vine Rd, Stamford, CT 06905, USA",41.0990624,-73.5422042
229,Bridgeport School District,Bassick High School,Public Schools,156111,1181 Fairfield Ave.,Bridgeport,06605-1119,203-576-7350,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0.0,"1181 Fairfield Ave.
Bridgeport, CT 06605-1119
(41.173961, -73.207327)","1181 Fairfield Ave., Bridgeport, Connecticut, USA","1181 Fairfield Ave, Bridgeport, CT 06605, USA",41.1732849,-73.2071821
230,Hampton School District,Hampton Elementary School,Public Schools,630111,380 Main St.,Hampton,06247-1416,860-455-9409,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"380 Main St.
Hampton, CT 06247-1416
(41.792028, -72.059904)","380 Main St., Hampton, Connecticut, USA","380 Main St, Hampton, CT 06247, USA",41.7923494,-72.0585751
231,West Haven School District,West Haven High School,Public Schools,1566111,One McDonough Plaza,West Haven,06516-5299,203-937-4360,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0.0,,"One McDonough Plaza, West Haven, Connecticut, USA","1 Mcdonough Plz, West Haven, CT 06516, USA",41.2593896,-72.9585938
232,Unified School District #2,Riverview School,State Agency Facilities,3470315,915 River Rd.,Middletown,06457,860-704-4020,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2000-07-01T00:00:00.000,0.0,"915 River Rd.
Middletown, CT 06457
(41.559151, -72.61369)","915 River Rd., Middletown, Connecticut, USA","915 River Rd, Middletown, CT 06457, USA",41.5582783,-72.61498069999999
233,Regional School District 09,Joel Barlow High School,Regional Schools,2096112,100 Black Rock Tpke.,Redding,06896-3099,203-938-2508,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2002-07-01T00:00:00.000,0.0,"100 Black Rock Tpke.
Redding, CT 06896-3099
(41.298199, -73.344377)","100 Black Rock Tpke., Redding, Connecticut, USA","100 Black Rock Turnpike, Redding, CT 06896, USA",41.3005145,-73.33927609999999
234,Stratford School District,Chapel School,Public Schools,1380311,380 Chapel St.,Stratford,06614-1690,203-385-4192,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"380 Chapel St.
Stratford, CT 06614-1690
(41.238229, -73.117833)","380 Chapel St., Stratford, Connecticut, USA","380 Chapel St, Stratford, CT 06614, USA",41.2390939,-73.1171651
235,Waterbury School District,B. W. Tinker School,Public Schools,1512111,809 Highland Ave.,Waterbury,06708-4601,203-574-8186,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"809 Highland Ave.
Waterbury, CT 06708-4601
(41.535946, -73.051797)","809 Highland Ave., Waterbury, Connecticut, USA","809 Highland Ave, Waterbury, CT 06708, USA",41.5362276,-73.0510427
236,Milford School District,J. F. Kennedy School,Public Schools,841911,404 West Ave.,Milford,06460-3091,203-783-3568,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"404 West Ave.
Milford, CT 06460-3091
(41.215286, -73.089585)","404 West Ave., Milford, Connecticut, USA","404 West Ave, Milford, CT 06461, USA",41.21652539999999,-73.0889478
237,Newtown School District,Hawley Elementary School,Public Schools,970111,29 Church Hill Rd.,Newtown,06470-1644,203-426-7666,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"29 Church Hill Rd.
Newtown, CT 06470-1644
(41.414059, -73.303706)","29 Church Hill Rd., Newtown, Connecticut, USA","29 Church Hill Rd, Newtown, CT 06470, USA",41.415632,-73.303957
238,Wethersfield School District,Emerson-Williams School,Public Schools,1590211,461 Wells Rd.,Wethersfield,06109-2867,860-571-8360,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"461 Wells Rd.
Wethersfield, CT 06109-2867
(41.702252, -72.679371)","461 Wells Rd., Wethersfield, Connecticut, USA","461 Wells Rd, Wethersfield, CT 06109, USA",41.7031202,-72.68071189999999
239,Southington School District,Strong Elementary School,Public Schools,1310811,820 Marion Ave.,Plantsville,06479-1461,860-628-3314,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"820 Marion Ave.
Plantsville, CT 06479-1461
(41.573775, -72.918498)","820 Marion Ave., Plantsville, Connecticut, USA","820 Marion Ave, Plantsville, CT 06479, USA",41.5721314,-72.9179803
240,Coventry School District,Coventry Academy,Public Schools,320111,78 Ripley Hill Road,Coventry,06238,860-742-3532,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2014-08-27T00:00:00.000,,"78 Ripley Hill Road
Coventry, CT 06238
(41.782638, -72.314046)","78 Ripley Hill Road, Coventry, Connecticut, USA","78 Ripley Hill Rd, Coventry, CT 06238, USA",41.7820653,-72.3116878
241,Unified School District #1,MacDougall/Walker Correctional Institution,State Agency Facilities,3362215,1153 East St. South,Suffield,06078-2447,860-627-2127,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2000-07-01T00:00:00.000,0.0,"1153 East St. South
Suffield, CT 06078-2447
(41.94919, -72.62806)","1153 East St. South, Suffield, Connecticut, USA","1153 East Street S, Suffield, CT 06078, USA",41.9477272,-72.6285688
242,Hebron School District,Hebron Elementary School,Public Schools,670111,92 Church St.,Hebron,06248-1427,860-228-9465,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"92 Church St.
Hebron, CT 06248-1427
(41.652595, -72.361784)","92 Church St., Hebron, Connecticut, USA","92 Church St, Hebron, CT 06248, USA",41.652006,-72.3625605
243,Plymouth School District,Plymouth School District,Public School Districts,1110011,27 N Harwinton Ave,Terryville,06786,860-314-8005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0.0,"27 N Harwinton Ave
Terryville, CT 06786
(41.687926, -73.031831)","27 N Harwinton Ave, Terryville, Connecticut, USA","27 N Harwinton Ave, Terryville, CT 06786, USA",41.6882227,-73.0318992
244,Farmington School District,West District School,Public Schools,520311,114 West District Road,Unionville,06085,860-673-2579,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"114 West District Road
Unionville, CT 06085
(41.736832, -72.879335)","114 West District Road, Unionville, Connecticut, USA","114 W District Rd, Unionville, CT 06085, USA",41.7377194,-72.8793091
245,Connecticut Technical Education and Career System,Platt Technical High School,CT Technical Education and Career Schools,9002616,600 Orange Ave.,Milford,06461-2157,203-783-5300,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2000-07-01T00:00:00.000,0.0,"600 Orange Ave.
Milford, CT 06461-2157
(41.248425, -73.044939)","600 Orange Ave., Milford, Connecticut, USA","600 Orange Ave, Milford, CT 06461, USA",41.2495905,-73.04709969999999
246,Bridgeport School District,Hallen School,Public Schools,151211,68 Omega Ave.,Bridgeport,06606-3099,203-576-8216,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"68 Omega Ave.
Bridgeport, CT 06606-3099
(41.21736, -73.191398)","68 Omega Ave., Bridgeport, Connecticut, USA","68 Omega Ave, Bridgeport, CT 06606, USA",41.2174527,-73.1911959
247,Norwalk School District,Jefferson Elementary School,Public Schools,1030711,21 Hunters Lane,Norwalk,06850,203-899-2870,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"21 Hunters Lane
Norwalk, CT 06850
(41.122366, -73.443801)","21 Hunters Lane, Norwalk, Connecticut, USA","21 Hunters Ln, Norwalk, CT 06850, USA",41.1238239,-73.4405699
248,Vernon School District,Vernon Center Middle School,Public Schools,1465111,777 Hartford Tpke.,Vernon,06066-5126,860-870-6070,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0.0,"777 Hartford Tpke.
Vernon, CT 06066-5126
(41.841211, -72.461955)","777 Hartford Tpke., Vernon, Connecticut, USA","777 Hartford Turnpike, Vernon, CT 06066, USA",41.8418494,-72.4626032
249,Pomfret School District,Pomfret School District,Public School Districts,1120011,20 Pomfret Street,Pomfret Center,06259,860-928-2718,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0.0,"20 Pomfret Street
Pomfret Center, CT 06259
(41.859549, -71.959183)","20 Pomfret Street, Pomfret Center, Connecticut, USA","20 Pomfret St, Pomfret Center, CT 06259, USA",41.8592035,-71.96004719999999
250,Seymour School District,Chatfield-LoPresti School,Public Schools,1240211,51 Skokorat St.,Seymour,06483,203-888-4640,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2012-09-05T00:00:00.000,0.0,"51 Skokorat St.
Seymour, CT 06483
(41.401956, -73.055486)","51 Skokorat St., Seymour, Connecticut, USA","51 Skokorat St, Seymour, CT 06483, USA",41.4029239,-73.0564844
251,East Haven School District,East Haven School District,Public School Districts,440011,35 Wheelbarrow Lane,East Haven,06513,203-468-3261,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0.0,"35 Wheelbarrow Lane
East Haven, CT 06513
(41.327735, -72.832252)","35 Wheelbarrow Lane, East Haven, Connecticut, USA","35 Wheelbarrow Ln, East Haven, CT 06513, USA",41.3286689,-72.8323039
252,Glastonbury School District,Nayaug Elementary School,Public Schools,540911,222 Old Maide Ln.,South Glastonbury,06073,860-652-4949,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2007-08-28T00:00:00.000,0.0,"222 Old Maide Ln.
South Glastonbury, CT 06073
(41.638898, -72.615859)","222 Old Maide Ln., South Glastonbury, Connecticut, USA","222 Old Maids Ln, South Glastonbury, CT 06073, USA",41.63771120000001,-72.6153941
253,West Hartford School District,Hall High School,Public Schools,1556211,975 North Main St.,West Hartford,06117-2057,860-232-4561,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0.0,"975 North Main St.
West Hartford, CT 06117-2057
(41.794906, -72.747177)","975 North Main St., West Hartford, Connecticut, USA","975 N Main St, West Hartford, CT 06117, USA",41.7954436,-72.7510459
254,Trumbull School District,Madison Middle School,Public Schools,1445111,4630 Madison Ave.,Trumbull,06611-1732,203-452-4499,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0.0,"4630 Madison Ave.
Trumbull, CT 06611-1732
(41.25407, -73.246323)","4630 Madison Ave., Trumbull, Connecticut, USA","4630 Madison Ave, Trumbull, CT 06611, USA",41.2534072,-73.24662030000002
255,Regional School District 14,Mitchell Elementary School,Regional Schools,2140212,14 School St.,Woodbury,06798-2842,203-263-4314,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2002-07-01T00:00:00.000,0.0,"14 School St.
Woodbury, CT 06798-2842
(41.547593, -73.209554)","14 School St., Woodbury, Connecticut, USA","14 School St, Woodbury, CT 06798, USA",41.5484457,-73.2091124
256,Meriden School District,Roger Sherman School,Public Schools,800811,64 North Pearl St.,Meriden,06450-4419,203-238-1286,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"64 North Pearl St.
Meriden, CT 06450-4419
(41.535794, -72.782476)","64 North Pearl St., Meriden, Connecticut, USA","64 N Pearl St, Meriden, CT 06450, USA",41.5360108,-72.78353059999999
